,Velocidad del viento (Km/h)
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,1.5567567569999998
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,2.0991253640000003
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,9.290322581
1655,0.0
1656,1.9302949059999999
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,4.149855908
1702,1.6705336430000002
1703,2.3801652890000002
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,4.965517241000001
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,1.435692921
1736,1.745454545
1737,0.0
1738,3.673469388
1739,2.330097087
1740,2.208588957
1741,1.8628719280000001
1742,1.15942029
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,1.006289308
1750,1.345794393
1751,1.739130435
1752,1.986206897
1753,6.260869565
1754,0.0
1755,1.305530372
1756,1.664739884
1757,3.47826087
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,1.091736164
1775,0.0
1776,0.0
1777,4.615384615
1778,1.6551724140000001
1779,2.98136646
1780,3.0
1781,3.37236534
1782,3.7597911230000003
1783,0.0
1784,1.2
1785,1.437125749
1786,1.887287025
1787,2.307692308
1788,1.68618267
1789,0.0
1790,2.333873582
1791,3.272727273
1792,0.0
1793,0.0
1794,1.7183770880000002
1795,0.0
1796,2.530755712
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,2.651933702
1812,0.0
1813,1.091736164
1814,1.233933162
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,1.5254237290000001
1822,0.0
1823,1.068249258
1824,1.054172767
1825,0.0
1826,1.171684296
1827,0.0
1828,1.811320755
1829,1.442885772
1830,1.509433962
1831,1.83908046
1832,0.0
1833,4.5
1834,1.872561769
1835,1.476923077
1836,1.662817552
1837,0.0
1838,0.0
1839,0.0
1840,3.257918552
1841,3.68286445
1842,2.2570532919999997
1843,1.307901907
1844,0.0
1845,2.260596546
1846,1.775585697
1847,2.02247191
1848,0.0
1849,0.0
1850,0.0
1851,1.478439425
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,1.2162162159999999
1858,0.0
1859,2.993762994
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,1.5015641290000001
1868,0.0
1869,0.0
1870,0.0
