Fecha:,Velocidad del viento (Km/h)
2018-07-12 14:45:01,3.38028169
2018-07-12 15:14:58,3.711340206
2018-07-12 15:45:00,3.110151188
2018-07-12 16:14:58,1.274336283
2018-07-12 16:45:00,4.914675768
2018-07-12 17:14:58,4.417177914
2018-07-12 17:44:59,3.75
2018-07-12 18:14:59,1.417322835
2018-07-12 18:45:00,3.68286445
2018-07-12 19:14:59,2.408026756
2018-07-12 19:45:17,1.551724138
2018-07-12 20:15:01,5.87755102
2018-07-12 20:45:07,1.682242991
2018-07-12 21:15:01,1.565217391
2018-07-12 21:45:04,1.370123692
2018-07-12 22:15:00,6.545454545
2018-07-12 22:45:03,1.165991903
2018-07-12 23:14:58,5.052631579
2018-07-12 23:44:59,1.749696233
2018-07-13 00:14:59,1.137440758
2018-07-13 00:45:03,0
2018-07-13 01:15:01,0
2018-07-13 01:45:01,0
2018-07-13 02:15:05,0
2018-07-13 02:45:01,0
2018-07-13 03:15:04,3.74025974
2018-07-13 03:44:57,1.354656632
2018-07-13 04:14:57,2.829076621
2018-07-13 04:45:03,0
2018-07-13 05:15:03,0
2018-07-13 05:44:59,1.734939759
2018-07-13 06:15:03,0
2018-07-13 06:45:03,0
2018-07-13 07:15:01,32.72727273
2018-07-13 07:45:02,0
2018-07-13 08:15:38,1.764705882
2018-07-13 08:45:06,1.760391198
2018-07-13 09:15:03,1.441441441
2018-07-13 09:45:00,4.675324675
2018-07-13 10:14:57,2.25
2018-07-13 10:45:00,1.793275218
2018-07-13 11:15:02,0
2018-07-13 11:45:02,1.41453831
2018-07-13 12:14:58,1.498439126
2018-07-13 12:44:59,7.30964467
2018-07-13 13:15:06,0
2018-07-13 13:45:05,0
2018-07-13 14:14:59,1.125
2018-07-13 14:45:02,2.6716141
2018-07-13 15:15:38,2.191780822
2018-07-13 15:45:04,0
2018-07-13 16:15:00,2.993762994
2018-07-13 16:45:02,4.784053156
2018-07-13 17:15:06,0
2018-07-13 17:45:22,0
2018-07-13 18:15:03,0
2018-07-13 18:45:01,0
2018-07-13 19:15:05,0
2018-07-13 19:46:09,0
2018-07-13 20:15:02,0
2018-07-13 20:45:02,0
2018-07-13 21:15:02,0
2018-07-13 21:45:03,0
2018-07-13 22:15:03,0
2018-07-13 22:45:38,1.343283582
2018-07-13 23:15:03,0
2018-07-13 23:45:06,0
2018-07-14 00:15:03,0
2018-07-14 00:45:00,0
2018-07-14 01:14:57,3.404255319
2018-07-14 01:44:59,2.051282051
2018-07-14 02:14:57,2.057142857
2018-07-14 02:45:01,0
2018-07-14 03:15:03,0
2018-07-14 03:45:01,1.912350598
2018-07-14 04:15:01,0
2018-07-14 04:45:01,0
2018-07-14 05:15:02,0
2018-07-14 05:45:41,4.585987261
2018-07-14 06:15:02,0
2018-07-14 06:45:03,8.727272727
2018-07-14 07:15:11,0
2018-07-14 07:45:04,0
2018-07-14 08:15:00,1.777777778
2018-07-14 08:45:00,1.730769231
2018-07-14 09:15:02,4.272997033
2018-07-14 09:45:01,1.175510204
2018-07-14 10:15:04,1.095057034
2018-07-14 10:45:02,1.553398058
2018-07-14 11:15:02,4.350453172
2018-07-14 11:45:09,0
2018-07-14 12:14:58,1.415929204
2018-07-14 12:45:05,4.137931034
2018-07-14 13:15:01,0
2018-07-14 13:45:02,0
2018-07-14 14:15:03,0
2018-07-14 14:44:59,2.005571031
2018-07-14 15:15:38,1.434262948
2018-07-14 15:44:59,2.580645161
2018-07-14 16:14:58,4.337349398
2018-07-14 16:45:00,1.616161616
2018-07-14 17:14:59,3.006263048
2018-07-14 17:45:02,1.560130011
2018-07-14 18:14:59,1.741233374
2018-07-14 18:45:00,0
2018-07-14 19:15:09,2.333873582
2018-07-14 19:45:01,1.967213115
2018-07-14 20:15:04,1.239242685
2018-07-14 20:45:00,0
2018-07-14 21:15:00,1.37667304
2018-07-14 21:45:01,1.017667845
2018-07-14 22:15:05,0
2018-07-14 22:45:07,0
2018-07-14 23:15:02,0
2018-07-14 23:45:02,0
2018-07-15 00:15:02,0
2018-07-15 00:45:02,0
2018-07-15 01:15:01,0
2018-07-15 01:45:02,0
2018-07-15 02:15:03,0
2018-07-15 02:45:01,1.825095057
2018-07-15 03:14:58,2.56227758
2018-07-15 03:45:03,0
2018-07-15 04:15:04,0
2018-07-15 04:45:03,0
2018-07-15 05:14:59,1.398058252
2018-07-15 05:45:05,0
2018-07-15 06:15:05,0
2018-07-15 06:45:08,0
